Timestamp,User ID,Age,Gender,System,I think that I would like to use this system frequently.,I found the system unnecessarily complex.,I thought the system was easy to use.,I think that I would need the support of a technical person to be able to use this system.,I found the various functions in this system were well integrated.,I thought there was too much inconsistency in this system.,I would imagine that most people would learn to use this system very quickly.,I found the system very cumbersome to use.,I felt very confident using the system. ,"I needed to learn a lot of things before I could get going
with this system.",Final
2/21/2023 10:50:58,1,24,Male,Joystick control,2,4,3,1,1,4,2,4,2,3,65
2/21/2023 10:52:06,1,24,Male,Master-slave teleoperation,1,4,1,4,1,3,1,4,1,3,57.5
2/21/2023 10:53:27,1,24,Male,Human pose estimation control,3,2,4,2,2,3,4,2,4,3,72.5
2/21/2023 11:37:40,2,25,Male,Joystick control,4,4,4,3,3,4,4,2,4,2,85
2/21/2023 11:39:19,2,25,Male,Master-slave teleoperation,2,5,1,4,1,4,1,4,2,5,72.5
2/21/2023 11:40:37,2,25,Male,Human pose estimation control,1,5,1,4,1,4,1,5,2,5,72.5
2/21/2023 12:11:10,3,26,Male,Joystick control,2,4,2,5,2,4,3,4,3,4,82.5
2/21/2023 12:12:55,3,26,Male,Master-slave teleoperation,2,4,2,4,2,4,2,4,2,4,75
2/21/2023 12:15:09,3,26,Male,Human pose estimation control,3,4,3,2,2,2,4,2,3,2,67.5
2/21/2023 12:44:39,4,23,Male,Human pose estimation control,1,5,1,5,1,5,1,5,1,5,75
2/21/2023 12:46:56,4,23,Male,Master-slave teleoperation,1,5,1,5,1,5,1,5,1,5,75
2/21/2023 12:48:40,4,23,Male,Joystick control,1,5,1,5,1,5,1,5,1,5,75
2/21/2023 13:16:33,5,22,male,Human pose estimation control,3,4,4,5,1,4,2,4,4,5,90
2/21/2023 13:22:17,5,22,male,Master-slave teleoperation,1,5,1,5,1,5,1,5,1,5,75
2/21/2023 13:24:24,5,22,male,Joystick control,4,3,3,2,1,5,2,2,3,3,70
2/21/2023 13:29:26,6,22,Male,Master-slave teleoperation,2,5,1,5,1,5,1,3,1,5,72.5
2/21/2023 13:50:38,6,22,Male,Joystick control,2,4,3,5,1,5,1,3,1,5,75
2/21/2023 13:54:10,6,22,Male,Human pose estimation control,2,5,3,4,1,5,2,3,3,5,82.5